fecha,temperatura_C,TC,posicion,profundidad_m
2025-12-31 13:27:01,20.635,TC1,surface,0.0
2025-12-31 13:57:01,21.511,TC1,surface,0.0
2025-12-31 14:27:01,22.262,TC1,surface,0.0
2025-12-31 14:57:01,22.637,TC1,surface,0.0
2025-12-31 15:27:01,22.95,TC1,surface,0.0
2025-12-31 15:57:01,23.2,TC1,surface,0.0
2025-12-31 16:27:01,23.138,TC1,surface,0.0
2025-12-31 16:57:01,22.888,TC1,surface,0.0
2025-12-31 17:27:01,22.512,TC1,surface,0.0
2025-12-31 17:57:01,22.012,TC1,surface,0.0
2025-12-31 18:27:01,21.386,TC1,surface,0.0
2025-12-31 18:57:01,20.761,TC1,surface,0.0
2025-12-31 19:27:01,20.135,TC1,surface,0.0
2025-12-31 19:57:01,19.634,TC1,surface,0.0
2025-12-31 20:27:01,19.134,TC1,surface,0.0
2025-12-31 20:57:01,18.758,TC1,surface,0.0
2025-12-31 21:27:01,18.32,TC1,surface,0.0
2025-12-31 21:57:01,18.007,TC1,surface,0.0
2025-12-31 22:27:01,17.631,TC1,surface,0.0
2025-12-31 22:57:01,17.256,TC1,surface,0.0
2025-12-31 23:27:01,16.942,TC1,surface,0.0
